5733.19151525115  62197.82
5737.90376221766  62247.51
5742.61600918417  62909.39
5747.32825615069  62625.06
5752.0405031172  62516.37
5756.75275008371  63045.09
5761.46499705023  63252.4
5766.17724401674  63455.31
5770.88949098325  63548.86
5775.60173794976  63883.21
5780.31398491627  63760.52
5785.02623188279  63677.82
5789.7384788493  63658.21
5794.45072581581  63772.45
5799.16297278233  63775.66
5803.87521974884  64237.53
5808.58746671535  64411.35
5813.29971368186  64487.91
5818.01196064838  64830.03
5822.72420761489  64703.99
5827.4364545814  64951.9
5832.14870154791  65275.88
5836.86094851443  65488.16
5841.57319548094  65290.36
5846.28544244745  65347.68
5850.99768941396  65567.89
5855.70993638048  65903.01
5860.42218334699  65813.59
5865.1344303135  66452.84
5869.84667728001  66370.39
5874.55892424653  66554.46
5879.27117121304  66639.27
5883.98341817955  66665.2
5888.69566514606  66419.9
5893.40791211258  67308.53
5898.12015907909  67988.36
5902.8324060456  68231.91
5907.54465301211  68264.86
5912.25689997863  68405.91
5916.96914694514  68911.43
5921.68139391165  68824.66
5926.39364087816  69174.73
5931.10588784468  69396.33
5935.81813481119  68959.74
5940.5303817777  68750.58
5945.24262874421  67943.11
5949.95487571073  66049.72
5954.66712267724  64564.25
5959.37936964375  66245.44
5964.09161661026  68395.34
5968.80386357678  69436.13
5973.51611054329  70233.61
5978.2283575098  70455.41
5982.94060447631  70312.02
5987.65285144283  70334.41
5992.36509840934  70671.36
5997.07734537585  71117.26
6001.78959234236  71466.05
6006.50183930888  71690.97
6011.21408627539  71662.37
6015.9263332419  71637.7
6020.63858020841  71696.81
6025.35082717493  71631.13
6030.06307414144  71931.13
6034.77532110795  72267.48
6039.48756807446  72519.53
6044.19981504098  72564.13
6048.91206200749  72707.3
6053.624308974  72643.24
6058.33655594051  72680.97
6063.04880290703  72926.21
6067.76104987354  73274.5
6072.47329684005  73627.92
6077.18554380656  73983.
6081.89779077308  74059.16
6086.61003773959  74103.9
6091.3222847061  74461.06
6096.03453167261  74499.22
6100.74677863913  74391.27
6105.45902560564  74276.04
6110.17127257215  74400.63
6114.88351953866  74603.49
6119.59576650518  74909.08
6124.30801347169  75327.35
6129.0202604382  75286.06
6133.73250740472  75258.91
6138.44475437123  75167.92
6143.15700133774  75715.36
6147.86924830425  75734.8
6152.58149527076  75605.34
6157.29374223728  75693.55
6162.00598920379  75701.1
6166.7182361703  75856.83
6171.43048313681  76233.75
6176.14273010333  76023.64
6180.85497706984  76263.18
6185.56722403635  76292.16
6190.27947100286  76356.59
6194.99171796938  76546.63
6199.70396493589  76683.17
6204.4162119024  76811.5
6209.12845886891  77181.62
6213.84070583543  77397.37
6218.55295280194  77600.92
6223.26519976845  77824.3
6227.97744673496  77737.72
6232.68969370148  77299.7
6237.40194066799  77676.41
6242.1141876345  78252.7
6246.82643460101  78122.7
6251.53868156753  77394.45
6256.25092853404  74414.68
6260.96317550055  69724.79
6265.67542246706  69363.73
6270.38766943358  72357.3
6275.09991640009  74177.91
6279.8121633666  74001.41
6284.52441033311  73956.77
6289.23665729963  74476.93
6293.94890426614  75574.45
6298.66115123265  76540.28
6303.37339819917  76979.96
6308.08564516568  77878.07
6312.79789213219  78397.4
6317.5101390987  78541.81
6322.22238606521  78741.84
6326.93463303173  79026.81
6331.64687999824  78810.14
6336.35912696475  78906.02
6341.07137393126  79085.49
6345.78362089778  79298.66
6350.49586786429  79596.2
6355.2081148308  80066.75
6359.92036179731  80845.16
6364.63260876383  80507.81
6369.34485573034  80187.64
6374.05710269685  79823.73
6378.76934966337  79938.45
